Record_ID,Company_Name,Address1,Address2,City,state,zip_code,zip4,phone_number,naics_code,duns_number,Address_Update_Date,Phone_Update_Date,Update_Date
REC000001,Omega Systems,PO Box 0000,,,,,,689-807-4703,,88-669-7549,2020-03-23,2022-11-05,2023-03-12
REC000002,Pacific Trading Co,3300 Elm Blvd,Floor 12,Austin,TX,78701,5848,,541511,36-183-3556,2020-07-19,,2022-03-12
REC000003,Nexus Solutions,4179 Main St,Room 205,Fort Worth,TX,76101,,839-216-4197,541511,,2021-04-18,2021-04-18,
REC000004,Midwest Manufacturing #80,529 Corporate Way,,Houston,TX,77001,,871-405-1249,518210,18-889-8397,2020-12-27,,
REC000005,Pioneer Holdings,7796 Main St,Unit A,San Diego,CA,92101,9398,841-183-7791,541613,84-349-5006,,2023-12-04,2022-11-23
REC000006,Southern Logistics,1453 Industrial Pkwy,,Atlanta,GA,30301,3571,938-942-2836,541330,,,2021-07-17,
REC000007,Tech Solutions Inc,3703 Elm Blvd,Unit A,Austin,TX,78701,,480-128-2401,541613,,,2024-04-26,2023-10-02
REC000008,Sigma Corp #69,921 Industrial Pkwy,,New York,NY,10001,,690-507-8178,518210,,2024-06-28,,2021-05-02
REC000009,Nexus Solutions,7054 Main St,,Los Angeles,CA,90001,,111-111-1111,,82-467-7120,,,2023-10-17
REC000010,Vertex Partners #53,,,,,,,923-257-6580,,26-921-2018,,2020-04-23,2024-12-24
REC000011,Pinnacle Industries #73,,,,,,,615-197-7363,,21-241-1008,,,2024-06-08
REC000012,Quantum Dynamics #45,5789 Pine Rd,,Chicago,IL,60601,6067,,541519,,2020-01-21,,2022-01-11
REC000013,Zeta Enterprises,4156 Pine Rd,,Denver,CO,80201,,369-955-7372,541519,,2023-03-19,2020-08-16,2024-01-13
REC000014,Eastern Distributors #91,,,,,,,388-734-8999,541519,72-917-1931,,,2020-06-08
REC000015,Tech Solutions Inc #91,751 Industrial Pkwy,,Columbus,OH,43201,2103,866-542-3677,236220,74-910-8362,2023-01-22,,2023-08-06
REC000016,Delta Services #38,,,,,,,515-246-9517,423440,95-427-1100,,,2024-10-31
REC000017,Gamma Holdings,,,,,,,369-815-7426,236220,,,2022-11-08,2020-10-15
REC000018,Sigma Corp,8067 Cedar Ln,,Philadelphia,PA,19101,3255,665-839-3723,541330,,,2024-07-24,2023-03-22
REC000019,Summit Enterprises,7413 Commerce Dr,,Columbus,OH,43201,7173,977-419-5957,541519,51-522-2336,2021-09-28,2024-06-14,2022-08-11
REC000020,Northern Supply Co #10,7032 Industrial Pkwy,,San Diego,CA,92101,,431-986-5070,423430,96-572-2719,2020-10-31,2021-11-09,2023-02-25
REC000021,Northern Supply Co,,,,,,,553-477-1799,,88-938-4218,,,2024-05-31
REC000022,Tech Solutions Inc,8242 Cedar Ln,,Phoenix,AZ,85001,,923-305-6736,541611,,2023-03-23,,
REC000023,Stellar Systems #30,8776 Elm Blvd,,Phoenix,AZ,85001,2075,123-456-7890,238210,34-671-3745,2023-05-28,2021-08-29,2023-02-09
REC000024,Horizon Ventures,6974 Park Way,,Philadelphia,PA,19101,,732-135-7331,,,,,2020-12-13
REC000025,Alpha Innovations,,,,,,,659-408-5252,334111,89-240-4728,,2021-02-01,
REC000026,Pioneer Holdings #20,,,,,,,958-388-9498,541519,,,,
REC000027,Summit Enterprises,3777 Park Way,,Jacksonville,FL,32201,3679,353-288-8530,541511,99-104-8315,2021-02-10,2021-01-29,2024-06-14
REC000028,Atlas Group,7279 Cedar Ln,,Philadelphia,PA,19101,2979,446-781-4660,541613,92-868-1727,2020-07-01,2024-05-31,2024-01-25
REC000029,Tech Solutions Inc,8979 Park Way,,San Antonio,TX,78201,,555-555-5555,,,,2021-05-30,
REC000030,Global Industries LLC #36,1047 Business Center Dr,,Charlotte,NC,28201,,,,,,,2021-09-30
REC000031,Epsilon LLC #73,000 Nowhere Blvd,,,,,,894-858-4620,,83-413-2893,2022-11-10,2022-10-02,2020-11-07
REC000032,Midwest Manufacturing #12,3818 Elm Blvd,,Phoenix,AZ,85001,,,,,,,2023-01-19
REC000033,Delta Services #55,9371 Industrial Pkwy,,Phoenix,AZ,85001,2542,854-346-8008,,,2021-10-01,2024-09-17,2024-08-28
REC000034,Alpha Innovations,,,,,,,675-687-9639,334118,,,,2024-07-03
REC000035,Prime Services Co #73,5841 Maple Dr,,New York,NY,10001,4647,807-655-9799,541611,,2023-08-05,,
REC000036,Eastern Distributors,4956 Park Way,Bldg B,Atlanta,GA,30301,8393,895-588-9031,,,,2024-05-13,2024-08-05
REC000037,Delta Services,6063 Industrial Pkwy,,Miami,FL,33101,,975-813-7847,541330,11-807-6730,2020-04-16,2021-12-24,2020-10-25
REC000038,Beta Technologies,2293 Pine Rd,,Seattle,WA,98101,,579-968-3824,,,2022-03-04,2024-08-03,2020-08-02
REC000039,Catalyst Corp,4738 Main St,Ste 500,Charlotte,NC,28201,6842,,,,2024-08-27,,2023-10-18
REC000040,Fusion Technologies #37,868 Tech Park Blvd,Suite 100,Boston,MA,02101,5948,484-271-8788,541330,56-437-7942,2020-01-08,2021-12-04,2020-03-30
REC000041,Nexus Solutions,4050 Industrial Pkwy,,Phoenix,AZ,85001,,759-896-4449,334118,31-984-7670,,2021-09-12,2024-01-04
REC000042,Eastern Distributors #59,,,,,,,410-998-3018,541611,48-757-5205,,2020-01-25,2022-12-23
REC000043,Epsilon LLC,,,,,,,320-804-4589,236220,60-388-7960,,2022-04-18,2020-07-07
REC000044,Metro Business Solutions #38,2570 Pine Rd,,San Antonio,TX,78201,,,541611,,2022-06-24,,2024-05-04
REC000045,Metro Business Solutions,8295 Park Way,,Boston,MA,02101,,800-194-4076,,,2023-11-12,2024-11-05,2020-03-29
REC000046,Sigma Corp #71,3173 Oak Ave,,Denver,CO,80201,,854-843-5787,334118,,2022-06-14,2024-07-02,2022-01-21
REC000047,Eastern Distributors #13,2304 Oak Ave,Office 101,Portland,OR,97201,2692,844-768-5184,541512,65-845-2382,2022-08-16,,2024-12-30
REC000048,Summit Enterprises,9472 Pine Rd,,Jacksonville,FL,32201,,,,88-647-4368,,,2020-06-25
REC000049,Gamma Holdings #77,5726 Main St,,San Diego,CA,92101,7240,692-739-5149,423440,,2023-07-30,2023-04-17,2023-06-11
REC000050,Southern Logistics,4592 Corporate Way,,Fort Worth,TX,76101,,714-425-1756,517311,,,2024-01-14,2020-12-07
REC000051,Fusion Technologies,9023 Cedar Ln,,New York,NY,10001,,833-296-2538,334118,,2022-09-11,2024-06-17,2024-07-06
REC000052,Pioneer Holdings,,,,,,,735-582-2918,518210,19-980-9117,,2021-04-16,2022-05-27
REC000053,Eastern Distributors,7240 Elm Blvd,,Dallas,TX,75201,5906,999-999-9999,238210,98-708-1247,2022-11-09,2022-04-21,
REC000054,Quantum Dynamics,,,,,,,941-747-2848,517311,14-990-4021,,2023-01-25,2023-05-30
REC000055,Zeta Enterprises,3074 Corporate Way,,Portland,OR,97201,2034,550-420-5058,518210,,2024-07-08,,
REC000056,Nexus Solutions #10,8106 Cedar Ln,,Los Angeles,CA,90001,7470,509-922-9716,,80-614-2477,2023-04-12,,2020-07-26
REC000057,Southern Logistics,7296 Commerce Dr,,Portland,OR,97201,,,541611,29-466-9651,2024-10-14,,2020-10-10
REC000058,Beta Technologies,123 Fake Street,,,,,,533-220-6795,541330,,2022-03-05,2021-12-15,2020-08-14
REC000059,Acme Corporation,5194 Main St,Suite 200,San Diego,CA,92101,3587,799-424-9028,518210,38-663-7077,2021-10-27,2020-02-22,2022-05-17
REC000060,Horizon Ventures,,,,,,,000-000-0000,238210,56-209-3097,,2020-11-22,2024-07-27
REC000061,Eastern Distributors #15,N/A,,,,,,606-797-2797,334118,64-381-3061,2024-09-29,2023-04-10,2023-03-22
REC000062,Pacific Trading Co #23,,,,,,,123-456-7890,541613,,,2022-02-18,2022-01-16
REC000063,Atlas Group,,,,,,,873-379-3600,,13-266-8179,,2020-12-22,2023-06-24
REC000064,Apex Manufacturing,6489 Industrial Pkwy,,San Diego,CA,92101,,687-842-9149,,,,2024-07-25,
REC000065,Mountain View Tech #30,PO Box 0000,,,,,,,541611,,2024-01-04,,2024-03-24
REC000066,Global Industries LLC,,,,,,,555-555-5555,,,,2021-03-24,2020-09-05
REC000067,Gamma Holdings,N/A,,,,,,800-802-1042,238210,,2024-09-05,,2022-09-23
REC000068,Summit Enterprises,,,,,,,629-420-5776,236220,,,2022-08-05,2021-12-29
REC000069,Omega Systems #17,791 Pine Rd,,Los Angeles,CA,90001,,424-701-1383,,,2023-05-28,2022-04-09,2022-11-19
REC000070,Nexus Solutions,,,,,,,980-536-6194,236220,,,2021-08-20,2020-09-06
REC000071,Metro Business Solutions #87,2681 Corporate Way,,Phoenix,AZ,85001,2188,783-712-6702,,51-438-7668,2023-03-23,2021-12-01,2020-08-17
REC000072,Vertex Partners,,,,,,,826-558-4806,541613,10-104-3658,,2021-07-22,2020-07-13
REC000073,Atlas Group,9848 Corporate Way,,New York,NY,10001,6541,373-794-8949,541330,82-759-4778,,,2020-06-21
REC000074,Delta Services,,,,,,,597-856-5388,238210,45-892-9300,,2021-08-19,2020-08-08
REC000075,Apex Manufacturing #72,6128 Oak Ave,,Austin,TX,78701,,930-166-3159,236220,,2021-02-26,2021-02-14,2024-04-17
REC000076,Epsilon LLC,6613 Tech Park Blvd,,Atlanta,GA,30301,,,541519,39-670-1940,,,2023-03-09
REC000077,Tech Solutions Inc #29,,,,,,,670-809-5626,,76-513-5892,,2024-04-21,2020-09-24
REC000078,Fusion Technologies #17,N/A,,,,,,842-586-4150,,59-909-9002,,,2021-06-05
REC000079,Prime Services Co,4823 Cedar Ln,,Philadelphia,PA,19101,8097,753-406-6776,541519,85-566-1384,2021-06-26,2020-03-01,2024-09-18
